,Anime_Name,Anime_img_url,Sub_Dub
57,Exception,https://img.zorores.com/_r/300x400/100/ef/0f/ef0f5749d3121caad3f6e42f896b24fe/ef0f5749d3121caad3f6e42f896b24fe.jpg,"['SUB', 'DUB']"
58,Peter Grill and the Philosopher's Time: Super Extra (Uncensored),https://img.zorores.com/_r/300x400/100/75/96/7596481a1afe856dd75c19129ef358eb/7596481a1afe856dd75c19129ef358eb.jpg,['SUB']
59,One Piece - Wano Kuni SP,https://img.zorores.com/_r/300x400/100/fd/75/fd758a025129d9fb3806b27d3e5f428b/fd758a025129d9fb3806b27d3e5f428b.jpg,['SUB']
60,Immoral Guild (Uncensored),https://img.zorores.com/_r/300x400/100/4f/64/4f645a28a45c1d7a3ee3112e592c7c93/4f645a28a45c1d7a3ee3112e592c7c93.jpg,['SUB']
61,The Story of Fengzhi Senla,https://img.zorores.com/_r/300x400/100/5f/ad/5fad7d5886134e5ab156aa498397467f/5fad7d5886134e5ab156aa498397467f.jpg,['SUB']
62,Punirunes,https://img.zorores.com/_r/300x400/100/3d/b0/3db0bca70f5b1f0ed030d0e83fca77be/3db0bca70f5b1f0ed030d0e83fca77be.jpg,['SUB']
63,Lucifer and the Biscuit Hammer Recap,https://img.zorores.com/_r/300x400/100/d8/0e/d80e9731f9d71a0a51ac001c704c8665/d80e9731f9d71a0a51ac001c704c8665.jpg,['SUB']
64,Ginga Eiyuu Densetsu: Die Neue These 4th Season,https://img.zorores.com/_r/300x400/100/13/36/1336a7b4726feec77a8fec326e9cc78f/1336a7b4726feec77a8fec326e9cc78f.jpg,['SUB']
65,Shadowverse Flame Special Episode,https://img.zorores.com/_r/300x400/100/92/d4/92d450f359157aba4d4f663936300fe7/92d450f359157aba4d4f663936300fe7.jpg,['SUB']
66,No Doubt In Us 2nd Season,https://img.zorores.com/_r/300x400/100/6f/46/6f46e554db1b7e14c6523dfbb49cf90c/6f46e554db1b7e14c6523dfbb49cf90c.png,['SUB']
67,Legend of Mana -The Teardrop Crystal-,https://img.zorores.com/_r/300x400/100/5d/57/5d57774ecce71a80131088a36d7d7713/5d57774ecce71a80131088a36d7d7713.jpg,['SUB']
68,Eternal Boys,https://img.zorores.com/_r/300x400/100/30/64/3064f4abf1811774c0106d6e6c967dd3/3064f4abf1811774c0106d6e6c967dd3.jpg,['SUB']
69,Berserk: The Golden Age Arc - Memorial Edition,https://img.zorores.com/_r/300x400/100/47/c5/47c5be77f083a305b73753175aeb0002/47c5be77f083a305b73753175aeb0002.jpg,['SUB']
70,Detective Conan: The Culprit Hanzawa,https://img.zorores.com/_r/300x400/100/d1/a8/d1a80cf7cd9216e833b1b9beb9671df2/d1a80cf7cd9216e833b1b9beb9671df2.jpg,['SUB']
71,Pui Pui Molcar: Driving School,https://img.zorores.com/_r/300x400/100/08/86/088642d3ec1c1fc9a4bc7066f1bb0303/088642d3ec1c1fc9a4bc7066f1bb0303.jpg,['SUB']
72,Reiwa no Di Gi Charat,https://img.zorores.com/_r/300x400/100/60/b8/60b826983455feefee9b61daf5e84165/60b826983455feefee9b61daf5e84165.jpg,['SUB']
73,Megaton-kyuu Musashi 2nd Season,https://img.zorores.com/_r/300x400/100/5a/63/5a63c80ec77adabe9bd0521f97e4d80d/5a63c80ec77adabe9bd0521f97e4d80d.jpg,['SUB']
74,The Human Crazy University,https://img.zorores.com/_r/300x400/100/4d/24/4d24786c1528920750c32fa2e58d23c4/4d24786c1528920750c32fa2e58d23c4.jpg,['SUB']
75,The Daily Life of the Immortal King 3,https://img.zorores.com/_r/300x400/100/9a/c4/9ac4bae5e2b6eea2a0e8aa1ebc24e67e/9ac4bae5e2b6eea2a0e8aa1ebc24e67e.jpg,['SUB']
76,The Seven Deadly Sins: Grudge of Edinburgh,https://img.zorores.com/_r/300x400/100/72/6b/726bdc21601810d426f431bedd07baab/726bdc21601810d426f431bedd07baab.jpg,"['SUB', 'DUB']"
77,Romantic Killer,https://img.zorores.com/_r/300x400/100/91/7c/917c698c10d9bcd546a91c6b6777d675/917c698c10d9bcd546a91c6b6777d675.jpg,"['SUB', 'DUB']"
78,Tiger & Bunny 2 Part 2,https://img.zorores.com/_r/300x400/100/90/0e/900efd69600343a2faa18ba2897aca1d/900efd69600343a2faa18ba2897aca1d.jpg,"['SUB', 'DUB']"
79,Forty Millenniums of Cultivation,https://img.zorores.com/_r/300x400/100/b6/59/b659d9ee890acbcbcc57143f10f913f8/b659d9ee890acbcbcc57143f10f913f8.png,['SUB']
80,I Have Refined Qi For 3000 Years!,https://img.zorores.com/_r/300x400/100/f2/94/f294ec3ddc7886eeca650a0cc46d28f8/f294ec3ddc7886eeca650a0cc46d28f8.png,['SUB']
81,The Sword of Dawn,https://img.zorores.com/_r/300x400/100/2a/f6/2af6bd5fae59eaa7bbcf5ace737c56eb/2af6bd5fae59eaa7bbcf5ace737c56eb.png,['SUB']
82,Muv-Luv Alternative 2nd Season,https://img.zorores.com/_r/300x400/100/c8/51/c851c61b6d74b2708086fb5e124f6c06/c851c61b6d74b2708086fb5e124f6c06.jpg,['SUB']
83,"My Life After I Became a Dummy Head Mic One Morning, Aru Asa Dummy Head Mike ni Natteita Ore-kun no Jinsei",https://img.zorores.com/_r/300x400/100/1e/b6/1eb62eb9c7402a8d1744bd114b308e5a/1eb62eb9c7402a8d1744bd114b308e5a.jpg,['SUB']
84,Akiba Maid War,https://img.zorores.com/_r/300x400/100/73/b5/73b5a84a2dd4bcad8d397bdb84a980be/73b5a84a2dd4bcad8d397bdb84a980be.png,['SUB']
